"","state","year","pop","assault","burglary","rape","theft","vehicleTheft","murder","robbery"
"1433","south carolina",1995,3748582,73.5664846067126,122.934485626832,4.63375217615621,337.236853828995,37.7662806896048,0.778961217868517,17.2358507830428
"1434","south carolina",1996,3796200,74.7089194457616,125.090880354038,4.79690216532322,341.525736262578,41.7496443812233,0.874558769295611,16.7562299141247
"1435","south carolina",1997,3859696,73.7363771654555,120.014633276818,4.75944219441117,340.247003909116,40.8192769585999,0.813535573786122,17.1619733782142
"1436","south carolina",1998,3919235,67.985206296637,113.797718177144,4.47281165839762,322.542537000205,40.6916145625358,0.78076461350238,15.1636735230217
"1437","south carolina",1999,3974682,63.6906298415823,99.7060896947227,3.99277225196884,301.689543968549,36.3425300439129,0.649108532456181,14.4917253757659
"1438","south carolina",2000,4024223,62.2579812301654,100.19076974611,4.12501991067592,311.57567560247,38.7304580287921,0.723120960244996,15.4563999062676
"1439","south carolina",2001,4064995,54.9078166147806,90.6052774972663,3.39483812403213,276.130720947996,36.3100077613872,0.627307044658111,13.0627466946454
"1440","south carolina",2002,4107795,62.6370108537549,106.492656035659,4.76898189904803,299.907858108791,41.0609584947642,0.725450028543294,14.0562029020436
"1441","south carolina",2003,4150297,61.1980299241235,105.999642917121,4.70327786180122,307.951455040446,38.0454699988941,0.730068233670988,13.9773129489287
"1442","south carolina",2004,4210921,60.8750437255888,103.870388449463,4.20810554270669,311.074465657275,37.3457493028247,0.679186334770944,12.9852827920543
"1443","south carolina",2005,4270150,57.6982073229278,99.7365432127677,4.23638513869536,294.366708429446,38.3077877826306,0.737679004250436,13.1658138472887
"1444","south dakota",1969,663081,5.1124975681704,42.2421996709301,1.10092130524023,121.599020330849,10.5266174117491,0.196054479015384,1.2818946704852
"1445","south dakota",1970,667299,6.03927175074442,47.0553679834677,1.10894816266771,139.397781204528,9.35113045276555,0.374644649549902,1.70837960194755
"1446","south dakota",1971,671564,6.67099487167269,45.2227933599776,0.982780494487495,142.324484338053,8.30896236248518,0.119124908422727,1.81665485344658
"1447","south dakota",1972,677476,8.3397788261134,47.3817522687151,1.13657162762961,143.931297935277,10.7605287862596,0.11808536390957,1.56463107180181
"1448","south dakota",1973,678998,8.63036415423904,50.3094265373388,1.29602738152395,141.841360357468,14.5508528743825,0.382917180904804,2.48896167588122
